INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN2_0,FN2_0TN1_6,FN1_5TN1_1,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,
2011,23,1.8,,,,,5,10,15,20,25,20,5,,,,,,,,,,,
2011,24,1.6,,,,,,,10,20,50,20,,,,,,,,,,,,
2011,29,,,,,,,,,50,30,20,,,,,,,,,,,,
2011,30,,,,,,,,,,,,,,,,,,,,,,,
2011,31,2.5,,,,,,,,,30,40,20,10,,,,,,,,,,
2011,32,,,,,,,,,,,,,,,,,,,,,,,
2011,33,2,,,,,,,,20,30,30,20,,,,,,,,,,,
2011,35,,,,,,,,,,,,,,,,,,,,,,,
2011,36,,,,,,,5,10,25,30,20,10,,,,,,,,,,,
2011,37,1.8,,,,,,,2,25,49,19,5,,,,,,,,,,,
2011,38,2,,,,,,,,,20,60,20,,,,,,,,,,,
2011,39,1.7,,,,,,,15,15,40,15,15,,,,,,,,,,,
2011,40,,,,,,,,,,,,,,,,,,,,,,,
2011,41,1.8,,,,,,,,20,60,20,,,,,,,,,,,,
2011,42,1.9,,,,,,,,10,45,35,10,,,,,,,,,,,
2011,47,1.5,,,,1,5,7,12,19,20,16,14,5,1,,,,,,,,,
2011,48,,,,,,,,,,,,,,,,,,,,,,,
2011,52,.4,,,,,10,45,40,5,,,,,,,,,,,,,,
2011,54,2.5,,,,,,,,10,20,30,20,10,10,,,,,,,,,
2011,57,1.7,,,,,,,,,,,,,,,,,,,,,,
2011,63,1.7,,,,,,,,20,60,10,10,,,,,,,,,,,
2011,70,1.3,,,,,,,25,75,,,,,,,,,,,,,,
2011,72,1.8,,,,,,,,,,,,,,,,,,,,,,
2011,73,,,,,20,60,15,5,,,,,,,,,,,,,,,
2011,80,.574,.016,.164,1.121,4.87,13.446,23.625,26.429,18.824,8.535,2.462,.451,.053,.004,,,,,,,,,
2011,82,,,,,,,,,,,,,,,,,,,,,,,
2011,84,1.8,,,,,1,3,12,20,25,20,12,5,2,,,,,,,,,
2011,85,.1,.433248,1.246072,5.00138,12.3979,21.0506,24.488,19.5173,10.6574,3.9857,1.0204,.1787,.0214,.0018,.0001,,,,,,,,
2011,88,1.9,,,,,2.5,5,10,20,25,20,10,5,2.5,,,,,,,,,
2011,89,1.6,,,,,,5,15,30,35,10,5,,,,,,,,,,,
2011,90,1.8,,,,,,,,10,60,30,,,,,,,,,,,,
2011,93,2,,,,,,,,5,25,70,,,,,,,,,,,,
2011,94,1.2,,,,2,8,12,15,25,20,10,6,2,,,,,,,,,,
