INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,
2009Sep,67,,,,,,,,,,,,,,
2009Sep,68,2.1,,,,,35,50,15,,,,,,
2009Sep,70,2.2,,,,,35,65,,,,,,,
2009Sep,72,1.4,,,,,,,,,,,,,
2009Sep,73,,,,,,,,,,,,,,
2009Sep,82,2.3,,,,5,40,50,5,,,,,,
2009Sep,84,,,,,,,,,,,,,,
2009Sep,88,1.6,,,15,25,30,20,10,,,,,,
2009Sep,89,2,,,,5,40,40,15,,,,,,
2009Sep,90,1.6,0,0,0,15,60,25,0,0,0,0,,,
2009Sep,93,2.4,,,,,10,50,40,,,,,,
2009Sep,94,.4,20,35,30,15,,,,,,,,,
2009Sep,95,2,0,0,1,11,27,29,21,10,1,0,,,
2009Sep,96,1.9,,,,10,50,30,10,,,,,,
2009Sep,98,1.7,,,10,30,35,20,5,,,,,,
2009Sep,100,1.7,,,7.5,20,45,20,7.5,,,,,,
2009Sep,101,1.5,,,5,30,60,5,,,,,,,
2009Sep,103,2.1,,,,5,20,50,20,5,,,,,
2009Sep,104,2.1,0,0,0,20,30,40,10,0,0,0,,,
2009Sep,107,1.5,1.26932725914093,5.53777098556885,16.001758095381,27.1911436599092,27.1911436599092,16.001758095381,5.53777098556885,1.12549729098502,.13409445253082,.00973551562508668,,,
2009Sep,108,1.9635,,,,10,40,38,12,,,,,,
2010,1,1.9,,2,4,12,35,30,11,4,2,,,,
2010,2,,,,4,10,26,28,16,12,4,,,,
2010,3,,,,,,25,50,25,,,,,,
2010,4,1.8,,,,10,50,30,10,,,,,,
2010,5,2.1,,,,,25,50,25,,,,,,
2010,7,2.1,,,,,,,,,,,,,
2010,8,1.9,,,3,12,30,25,18,10,2,,,,
2010,10,2.2,.167678628779089,.810361267837101,3.78774421865472,11.0675006578422,21.0605490620639,26.1116967963651,21.096659172857,11.1054987540926,3.80727909014376,.985032351364479,,,
2010,14,1.7,,,,20,60,20,,,,,,,
2010,15,2,,,,5,40,45,5,5,,,,,
2010,16,2.1,0,0,2,13,24,30,25,3,2,1,,,
2010,19,2.2,,,,15,25,35,15,10,,,,,
2010,20,2,,,5,20,35,35,5,,,,,,
2010,22,1.8,,,10,15,50,15,10,,,,,,
2010,23,2.1,,2,8,15,23,27,15,8,2,,,,
2010,24,1.9,,,5,10,40,30,10,5,,,,,
2010,26,1.9,,,,15,35,35,15,,,,,,
2010,29,2.2,,,,,10,60,30,,,,,,
2010,30,,,,,,,,,,,,,,
2010,31,1.9,,,,10,40,40,10,,,,,,
2010,32,,,,,,,,,,,,,,
2010,36,2.2,,,,,15,35,30,15,5,,,,
2010,38,2,,,,,20,60,20,,,,,,
2010,39,2.1,,,,,10,75,15,,,,,,
2010,40,,,,,,,,,,,,,,
2010,41,1.9,,,,,60,40,,,,,,,
2010,42,2.1,,,,5,30,40,20,5,,,,,
2010,47,,,,,,,,,,,,,,
2010,48,,,,,,,,,,,,,,
2010,52,1.9,,,,,70,30,,,,,,,
2010,54,1.9,,,,10,40,40,10,,,,,,
2010,56,2.3,,,,,25,60,15,,,,,,
2010,57,2.1,,,,,,,,,,,,,
2010,58,2,,,,,30,40,30,,,,,,
2010,59,2.2,,,,5,35,45,15,,,,,,
2010,60,1.9,,,5,25,40,25,5,,,,,,
2010,61,,,,,,,,,,,,,,
2010,67,2,,,5,15,20,30,15,10,5,,,,
2010,68,1.9,,,,15,50,35,,,,,,,
2010,70,1.8,,,,,80,20,,,,,,,
2010,72,2,,,,,,,,,,,,,
2010,73,,,,,,,,,,,,,,
2010,82,2.2,,,,5,35,50,5,5,,,,,
2010,84,2,,,3,10,27,30,20,5,4,1,,,
2010,88,1.9,,,15,20,30,25,10,,,,,,
2010,89,2,,,,,20,40,30,10,,,,,
2010,90,2.2,0,0,0,0,50,50,0,0,0,0,,,
2010,93,2,,,,,40,55,5,,,,,,
2010,94,1.8,5,7.5,10,12.5,22.5,15,12.5,10,5,,,,
2010,95,1.9,0,0,2,15,34,20,17,9,3,0,,,
2010,96,2,,,,10,35,45,10,,,,,,
2010,98,1.7,,,5,25,40,25,5,,,,,,
2010,100,,,,,,,,,,,,,,
2010,101,2,,,,15,35,50,,,,,,,
2010,103,2.2,,,,10,20,40,20,10,,,,,
2010,104,2,0,0,0,10,30,40,20,0,0,0,,,
2010,107,1.9,.000178230001912638,.0316581201879496,1.37398709513228,15.0511720151258,43.1799897703424,33.2001972428097,6.64186190505927,.513158494484034,.00776864249902864,.0000284843576503491,,,
2010,108,1.9828,,,4,18,28,31,15,4,,,,,
2010Sep,1,2.1,,3,6,16,20,20,17,12,6,,,,
2010Sep,2,,,,4,10,26,28,16,12,4,,,,
2010Sep,3,,,,,,10,50,40,,,,,,
2010Sep,4,1.8,,,,20,60,20,,,,,,,
2010Sep,5,2,,,,,30,30,30,10,,,,,
2010Sep,7,1.9,,,,,,,,,,,,,
2010Sep,8,1.9,,,4,15,30,25,20,6,,,,,
2010Sep,10,2.2,.167678628779089,.810361267837101,3.78774421865472,11.0675006578422,21.0605490620639,26.1116967963651,21.096659172857,11.1054987540926,3.80727909014376,.985032351364479,,,
2010Sep,14,,,,,,,,,,,,,,
2010Sep,15,2,,,,10,40,40,5,5,,,,,
2010Sep,16,2.3,0,0,2,13,25,30,24,3,2,1,,,
2010Sep,19,2.8,,,,,,,,,,,,,
2010Sep,20,2,,,5,15,35,35,10,,,,,,
2010Sep,22,1.8,,5,10,15,45,15,10,,,,,,
2010Sep,23,1.9,,5,10,15,20,20,15,10,5,,,,
2010Sep,24,1.8,,,5,20,40,25,5,5,,,,,
2010Sep,26,1.9,,,5,25,35,30,5,,,,,,
2010Sep,29,2.2,,,,,10,60,30,,,,,,
2010Sep,30,,,,,,,,,,,,,,
2010Sep,31,1.9,,,,15,35,40,10,,,,,,
2010Sep,32,,,,,,,,,,,,,,
2010Sep,36,2,,,,,20,35,30,10,5,,,,
2010Sep,38,2,,,,,20,60,20,,,,,,
2010Sep,39,2,,,,,15,65,20,,,,,,
2010Sep,40,,,,,,,,,,,,,,
2010Sep,41,1.9,,,,,,,,,,,,,
2010Sep,42,2.1,,,,5,30,35,25,5,,,,,
2010Sep,47,,,,,,,,,,,,,,
2010Sep,48,,,,,,,,,,,,,,
2010Sep,52,1.9,,,,,80,20,,,,,,,
2010Sep,54,1.9,,,10,20,30,30,10,,,,,,
2010Sep,56,2.3,,,,,25,60,15,,,,,,
2010Sep,57,,,,,,,,,,,,,,
2010Sep,58,2,,,,,30,40,30,,,,,,
2010Sep,59,2.2,,,,10,35,45,10,,,,,,
2010Sep,60,1.9,,,5,25,40,25,5,,,,,,
2010Sep,61,,,,,,,,,,,,,,
2010Sep,67,,,,,,,,,,,,,,
2010Sep,68,1.9,,,,,50,50,,,,,,,
2010Sep,70,1.8,,,,,70,30,,,,,,,
2010Sep,72,2,,,,,,,,,,,,,
2010Sep,73,,,,,,,,,,,,,,
2010Sep,82,2,,,,5,40,50,5,,,,,,
2010Sep,84,,,,,,,,,,,,,,
2010Sep,88,1.8,,5,10,17.5,27.5,22.5,12.5,5,,,,,
2010Sep,89,1.9,,,,20,40,30,10,,,,,,
2010Sep,90,2.3,0,0,0,0,30,60,10,0,0,0,,,
2010Sep,93,2,,,,,40,55,5,,,,,,
2010Sep,94,1.8,5,7.5,10,12.5,22.5,15,12.5,10,5,,,,
2010Sep,95,1.8,0,2,8,15,31,21,14,9,0,0,,,
2010Sep,96,,,,,,,,,,,,,,
2010Sep,98,1.5,,5,10,30,30,15,10,,,,,,
2010Sep,100,,,,,,,,,,,,,,
2010Sep,101,2.1,,,,10,40,50,,,,,,,
2010Sep,103,2.1,,,,10,20,40,20,10,,,,,
2010Sep,104,1.8,0,0,0,10,40,30,20,0,0,0,,,
2010Sep,107,1.9,.457617910437169,2.28250592347419,8.1094442340342,18.311107518006,26.294669682134,24.020542148694,13.9581041972985,5.1570657268462,1.21051993778434,.198422721291358,,,
2010Sep,108,1.8019,,,5,20,32,25,14,4,,,,,
2013,1,2,,,5,15,20,20,20,15,5,,,,
2013,2,,1,5,10,17,22,23,14,5,3,,,,
2013,3,,,,5,10,30,40,10,5,,,,,
2013,4,2,,,,,50,50,,,,,,,
2013,5,2.2,,,,20,20,40,20,,,,,,
2013,7,2,,,,,,,,,,,,,
2013,8,2.1,,,,5,25,33,20,10,7,,,,
2013,10,2,.383042512515963,1.54895201544584,6.12373153631833,15.0713928450896,24.162155796784,25.2409710413189,17.1821545655581,7.61963129601585,2.20003203126278,.46793635969069,,,
2013,14,1.7,,,,,,,,,,,,,
2013,15,1.75,,,5,10,45,30,5,5,,,,,
2013,16,2,5,7,9,11,16,18,13,12,8,1,,,
2013,19,2,,,,,,,,,,,,,
2013,20,2,,,5,15,30,30,15,5,,,,,
2013,22,1.9,,,,15,60,25,,,,,,,
2013,23,2,,5,10,15,20,20,15,10,5,,,,
2013,24,1.9,,,5,10,40,30,10,5,,,,,
2013,26,1.9,,,5,15,32.5,27.5,15,5,,,,,
2013,29,2.2,,,,,20,60,20,,,,,,
2013,30,1.9,,,,,,,,,,,,,
2013,31,2.2,,,,10,30,40,15,5,,,,,
2013,32,,,,,,,,,,,,,,
2013,36,,,,,5,20,30,25,10,5,5,,,
2013,38,,,,,,,,,,,,,,
2013,39,2.1,,,,,10,70,20,,,,,,
2013,40,,,,,,,,,,,,,,
2013,41,2,,,,,,,,,,,,,
2013,42,1.9,,,,10,45,40,5,,,,,,
2013,47,1.9,,,,,,,,,,,,,
2013,48,,,,,,,,,,,,,,
2013,52,2.1,,,,,35,65,,,,,,,
2013,54,1.9,,,10,20,30,30,10,,,,,,
2013,56,2,,,,,20,60,20,,,,,,
2013,57,,,,,,,,,,,,,,
2013,58,2,,,,10,25,30,25,10,,,,,
2013,59,2,,,,,10,80,10,,,,,,
2013,60,1.9,,,,20,50,30,,,,,,,
2013,61,,,,,,,,,,,,,,
2013,67,,,,,,,,,,,,,,
2013,68,2,,,,,50,50,,,,,,,
2013,70,2,,,,,45,55,,,,,,,
2013,72,2,,,,,,,,,,,,,
2013,73,,,,,,,,,,,,,,
2013,82,2,,,2,3,40,50,3,2,,,,,
2013,84,2,,,3,10,30,35,15,4,2,1,,,
2013,88,1.9,,,5,7.5,17.5,30,22.5,10,5,2.5,,,
2013,89,2,,,,20,30,30,20,,,,,,
2013,90,2,0,0,0,0,10,80,10,0,0,0,,,
2013,93,2,,,,,40,55,5,,,,,,
2013,94,1.9,,7.5,10,15,25,15,12.5,10,5,,,,
2013,95,1.9,0,2,9,15,24,23,17,10,0,0,,,
2013,96,,,,,,,,,,,,,,
2013,98,2.1,,,,5,30,45,15,5,,,,,
2013,100,2.1,1.5,2,5,10,20,35,15,7.5,2.5,1.5,,,
2013,101,,,,,,,,,,,,,,
2013,103,2.2,,,,10,30,35,20,5,,,,,
2013,104,2,0,0,0,10,30,40,20,0,0,0,,,
2013,107,1.9,.00227854278649353,.130821378066448,2.53900994567583,16.86232439217,38.961304864192,31.6091917127672,8.68280159967019,1.16824507974389,.0434790855026512,.000543399425234625,,,
2013,108,1.8506,,,12,17,23,20,15,9,4,,,,
,,,,,,,,,,,,,,,
GROWTH EXPECTATIONS; YEAR-ON-YEAR CHANGE IN REAL GDP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,
2008,1,1.5,,,,,,45,55,,,,,,
2008,2,1.2,,,,,15,60,20,5,,,,,
2008,3,,,,,,50,50,,,,,,,
2008,4,1.1,,,,,20,80,,,,,,,
2008,5,1.5,,,,,,50,50,,,,,,
2008,7,1.2,,,,,,,,,,,,,
2008,8,1.2,,,,,10,90,,,,,,,
2008,10,1.20733790116641,0,.000000000104427577696242,.0000246470024722889,.122521906347595,15.0431792396779,68.2481049026569,16.4375765166094,.148559371638546,.0000334158040349308,.000000000158750790291151,0,0,
2008,14,1.2,,,,,,100,,,,,,,
2008,15,1.5,,,,,,35,65,,,,,,
2008,16,1.3,0,0,0,1,20,40,33,5,1,0,0,0,
2008,19,1.2,,,,,25,50,25,,,,,,
2008,20,1.3,,,,,5,85,10,,,,,,
2008,22,1.2,,,,,10,85,5,,,,,,
2008,23,1.1,,,,5,30,55,10,,,,,,
2008,24,1.1,,,,,30,60,10,,,,,,
2008,26,1.2,,,,10,20,40,20,10,,,,,
2008,29,1.2,,,,,40,60,,,,,,,
2008,30,1.1,,,,,,,,,,,,,
2008,31,1.7,,,,,,20,60,20,,,,,
2008,32,1.2,,,,,20,70,10,,,,,,
2008,36,1.7,,,,,5,30,40,20,5,,,,
2008,38,1,,,,,10,80,10,,,,,,
2008,39,1.1,,,,,40,60,,,,,,,
2008,40,1.1,,,,,30,70,,,,,,,
2008,41,1.3,,,,,5,90,5,,,,,,
2008,42,1.1,,,,,15,60,25,,,,,,
2008,47,1.1,0,0,5,10,20,30,20,10,5,,,,
2008,48,1.1,,,,,,,,,,,,,
2008,52,1.1,,,,,15,85,,,,,,,
2008,54,1.2,,,,,10,80,10,,,,,,
2008,56,1.1,,,,,10,90,,,,,,,
2008,57,1.2,,,,,,,,,,,,,
2008,58,1.1,,,,,,100,,,,,,,
2008,59,1,,,,,20,70,10,,,,,,
2008,60,1.2,,,,,5,95,,,,,,,
2008,61,1.2,,,,5,40,50,5,,,,,,
2008,67,1.3,,,,10,30,50,10,,,,,,
2008,68,1.5,,,,,,45,50,5,,,,,
2008,70,1.2,,,,,30,70,,,,,,,
2008,72,1.3,,,,,,,,,,,,,
2008,73,,,,,30,60,10,,,,,,,
2008,82,1.1,,,,,45,55,,,,,,,
2008,84,1.1,,,,,15,80,5,,,,,,
2008,88,1.2,,,,10,25,40,15,10,,,,,
2008,89,1.1,,,,,20,60,20,,,,,,
2008,90,1.1,0,0,0,0,20,80,0,0,0,0,0,0,
2008,93,1.1,,,,,30,70,,,,,,,
2008,94,1.1,,,,,25,75,,,,,,,
2008,95,1.1,0,0,0,0,15,85,0,0,0,0,0,0,
2008,96,1.1,,,,,25,70,5,,,,,,
2008,98,.9,,,,10,60,30,,,,,,,
2008,100,1.2,,,,,15,70,15,,,,,,
2008,101,1.3,,,,,10,85,5,,,,,,
2008,103,1.2,,,,,35,65,,,,,,,
2008,104,1.1,0,0,0,10,30,40,20,0,0,0,0,0,
2008,107,1.20171556804832,.00000000000000000000000000000000000163207261381571,.0000000000000000000156668225104845,.0000000000866524950652745,.000510216636595974,6.97461088012988,85.7760230300146,7.2482960016772,.000559871443372995,.0000000000117017506795491,0,0,0,
2008,108,1.08,,,,,28,72,,,,,,,
2009,1,.2,1,3,30,39,22,5,,,,,,,
2009,2,.3,2,4,16,24,20,14,10,8,2,,,,
2009,3,,,,20,60,20,,,,,,,,
2009,4,.2,,,40,50,10,,,,,,,,
2009,5,.4,,,10,40,40,10,,,,,,,
2009,7,-.4,,,,,,,,,,,,,
2009,8,.3,3,12,25,40,20,,,,,,,,
2009,10,.33,1.70107359177366,7.12143340229054,19.1480126947693,29.3418207637182,25.6424700618818,12.7774787008757,3.62625597779905,.585056879779589,.0535426591905863,.00277285659358029,.0000810641892723396,.00000134713870059144,
2009,14,0,10,20,30,30,10,,,,,,,,
2009,15,1,,,5,10,40,40,5,,,,,,
2009,16,.2,5,10,21,26,20,10,5,2,1,0,0,0,
2009,19,.3,5,10,20,35,15,10,5,,,,,,
2009,20,0,,,30,50,20,,,,,,,,
2009,22,0,,15,35,40,10,,,,,,,,
2009,23,0,5,15,30,30,15,5,,,,,,,
2009,24,.2,,,50,30,10,10,,,,,,,
2009,26,.5,5,10,10,30,30,10,5,,,,,,
2009,29,.8,,,,10,60,30,,,,,,,
2009,30,.2,,,,,,,,,,,,,
2009,31,.2,5,15,30,35,15,,,,,,,,
2009,32,0,5,20,25,26,18,5,1,,,,,,
2009,36,.5,,,10,15,40,30,5,,,,,,
2009,38,-.2,,,20,60,20,,,,,,,,
2009,39,.6,,,,35,55,10,,,,,,,
2009,40,.5,,,,40,60,,,,,,,,
2009,41,.4,,,15,50,35,,,,,,,,
2009,42,-.2,,10,50,30,10,,,,,,,,
2009,47,.4,5,10,20,30,20,10,5,0,0,,,,
2009,48,.8,,,,,,,,,,,,,
2009,52,-.3,,,70,30,,,,,,,,,
2009,54,-.3,,,40,40,20,,,,,,,,
2009,56,.5,,,,20,60,20,,,,,,,
2009,57,.5,,,,,,,,,,,,,
2009,58,.1,,,40,50,10,,,,,,,,
2009,59,.1,,,5,70,20,5,,,,,,,
2009,60,.2,,,25,65,10,,,,,,,,
2009,61,.9,,,5,30,50,15,,,,,,,
2009,67,.5,,5,15,25,35,15,5,,,,,,
2009,68,1.1,,,,20,25,50,5,,,,,,
2009,70,.3,,,30,65,5,,,,,,,,
2009,72,.2,,,,,,,,,,,,,
2009,73,,,,,10,50,40,,,,,,,
2009,82,.4,,,35,55,10,,,,,,,,
2009,84,.4,3,7,15,35,28,10,2,,,,,,
2009,88,.2,5,12.5,22.5,27.5,17.5,10,5,,,,,,
2009,89,.2,5,20,25,25,20,5,,,,,,,
2009,90,.1,0,10,20,40,20,10,0,0,0,0,0,0,
2009,93,.7,,,,15,75,10,,,,,,,
2009,94,-1,25,40,15,10,7.5,2.5,,,,,,,
2009,95,.1,3,12,33,41,11,0,0,0,0,0,0,0,
2009,96,-.1,5,25,50,20,,,,,,,,,
2009,98,.3,,15,20,35,20,10,,,,,,,
2009,100,.7,,,7.5,30,45,15,2.5,,,,,,
2009,101,.8,,,30,30,40,,,,,,,,
2009,103,.7,,10,15,30,40,5,,,,,,,
2009,104,.5,0,0,20,40,30,10,0,0,0,0,0,0,
2009,107,.979160970844463,.0170648958218167,.467858065213289,3.33464400399524,13.092654618972,30.9833950131792,32.3962504380261,15.7618921992559,3.55764954479494,.370515377884861,.0176875831186529,.000384460746427617,.00000379899156577324,
2009,108,1.3686,,,,,10,49,36,5,,,,,
2009Q2,1,-.2,5,15,30,25,15,10,,,,,,,
2009Q2,2,.4,2,4,18,22,20,14,10,8,2,,,,
2009Q2,3,,,,30,50,20,,,,,,,,
2009Q2,4,0,,,50,50,,,,,,,,,
2009Q2,5,.5,,,20,35,35,10,,,,,,,
2009Q2,7,-.7,,,,,,,,,,,,,
2009Q2,8,.1,,15,30,40,15,,,,,,,,
