INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,,
2008Mar,82,1.7,,,,20,55,25,,,,,,,
2008Mar,84,1.9,0,0,0,10,37,33,15,5,0,,,,
2008Mar,85,1.8,,,,5,50,35,10,,,,,,
2008Mar,88,1.9,,,5,15,35,30,10,5,,,,,
2008Mar,90,1.6,0,0,0,0,70,30,0,0,0,,,,
2008Mar,92,2.2,0,.000155828999440574,.0377247298645682,1.8728697932764,19.9411499284113,47.9299998279313,26.7301999040386,3.39399998781554,.093899999662899,,,,
2008Mar,93,2.1,,,,,17.5,80,2.5,,,,,,
2008Mar,94,2.1,,,1,10,25,50,10,4,,,,,
2008Mar,95,1.9,0,0,0,11,44,34,11,0,0,,,,
2008Mar,96,2.1,,,,5,30,50,15,,,,,,
2008Mar,97,1.7,1,3,5,15,31,26,10,7,2,,,,
2008Mar,98,2.1,,,,5,40,45,10,,,,,,
2008Mar,99,1.8,,,,10,55,25,10,,,,,,
2008Mar,100,2.2,,,,5,25,45,20,5,,,,,
2009Mar,1,2,,,4,16,20,20,17,16,7,,,,
2009Mar,2,1.9,,5,10,21,27,21,12,4,,,,,
2009Mar,3,1.9,,,,10,40,40,10,,,,,,
2009Mar,4,2.1,,,,,30,60,10,,,,,,
2009Mar,5,1.6,,,,30,40,30,,,,,,,
2009Mar,7,1.8,,,,,,,,,,,,,
2009Mar,8,1.9,,,,5,41,39,15,,,,,,
2009Mar,10,2.1,.25551906415251,.915007153936176,4.30940272729891,12.0524634697761,21.9539044416807,26.0558728018433,20.151708104342,10.154304207534,4.15181802943636,,,,
2009Mar,11,1.9,,,,,60,35,5,,,,,,
2009Mar,14,,,,,,,,,,,,,,
2009Mar,15,1.7,,,5,15,45,25,10,,,,,,
2009Mar,16,1.9,0,0,2,25,35,25,10,2,1,,,,
2009Mar,19,2,,,,,50,50,,,,,,,
2009Mar,20,2,,,,10,40,40,10,,,,,,
2009Mar,22,1.8,0,0,0,15,65,20,,,,,,,
2009Mar,23,1.9,1,5,10,20,24,21,13,5,1,,,,
2009Mar,24,1.675,,,5,20,50,25,,,,,,,
2009Mar,26,1.8,,,,20,35,35,10,,,,,,
2009Mar,29,,,,,,,,,,,,,,
2009Mar,30,,,,,,,,,,,,,,
2009Mar,31,1.8,,,,5,60,30,5,,,,,,
2009Mar,32,,1,5,10,15,25,25,15,3,1,,,,
2009Mar,33,2,,,,10,40,40,10,,,,,,
2009Mar,36,2.3,,,,10,15,35,35,5,,,,,
2009Mar,37,2,,,,,50,50,,,,,,,
2009Mar,38,2,,,,10,35,45,10,,,,,,
2009Mar,39,1.9,,,,10,60,25,5,,,,,,
2009Mar,40,,,,,,,,,,,,,,
2009Mar,41,1.8,,,,,,,,,,,,,
2009Mar,42,1.8,,,,5,55,35,5,,,,,,
2009Mar,45,,,,,,,,,,,,,,
2009Mar,47,,0,3,10,25,33,17,10,2,0,,,,
2009Mar,48,2,0,0,0,5,70,25,0,0,0,,,,
2009Mar,52,,,,,,,,,,,,,,
2009Mar,54,2,,,,10,40,40,10,,,,,,
2009Mar,56,2.1,,,,,30,65,5,,,,,,
2009Mar,57,,,,,,,,,,,,,,
2009Mar,58,,,,,,,,,,,,,,
2009Mar,59,,,,,,,,,,,,,,
2009Mar,60,2,,,,10,50,40,,,,,,,
2009Mar,61,2,,,,10,40,40,10,,,,,,
2009Mar,62,1.8,,,,5,55,35,5,,,,,,
2009Mar,67,2,,,,10,25,30,25,10,,,,,
2009Mar,68,,,,,,,,,,,,,,
2009Mar,70,2.1,,,,,35,65,,,,,,,
2009Mar,72,2,0,0,2.5,15,30,35,15,2.5,0,,,,
2009Mar,73,,,,,,,,,,,,,,
2009Mar,76,,,,,,,,,,,,,,
2009Mar,80,1.8,,,,,,,,,,,,,
2009Mar,82,1.9,,,,22,53,25,,,,,,,
2009Mar,84,1.9,0,0,0,15,35,30,17,3,0,,,,
2009Mar,85,,,,,,,,,,,,,,
2009Mar,88,1.8,,,5,20,30,25,15,5,,,,,
2009Mar,90,1.8,0,0,0,10,70,20,0,0,0,,,,
2009Mar,92,1.9,,,,,,,,,,,,,
2009Mar,93,2,,,,,50,45,5,,,,,,
2009Mar,94,1.9,,,,20,30,35,12,3,,,,,
2009Mar,95,2,0,0,5,17,27,36,13,2,0,,,,
2009Mar,96,,,,,,,,,,,,,,
2009Mar,97,,,,,,,,,,,,,,
2009Mar,98,2,,,,10,35,35,20,,,,,,
2009Mar,99,1.8,,,,10,55,25,10,,,,,,
2009Mar,100,2.3,,,2.5,7.5,20,40,20,7.5,2.5,,,,
2011,1,2,,,5,15,20,20,20,15,5,,,,
2011,2,1.7,1,5,10,17,25,23,14,5,,,,,
2011,3,1.9,,,,,50,50,,,,,,,
2011,4,2,,,,10,40,40,10,,,,,,
2011,5,1.5,,,,30,50,20,,,,,,,
2011,7,1.9,,,,,,,,,,,,,
2011,8,2,,,,3,43,46,8,,,,,,
2011,10,1.9,.564919404176878,1.71008679944181,6.84612199377841,16.1281185366202,24.7507532441548,24.7507532878106,16.1281185366202,6.84612199377841,2.27500620361869,,,,
2011,11,2,,,,10,40,50,,,,,,,
2011,14,1.7,,,,,,,,,,,,,
2011,15,1.6,,,5,25,45,15,10,,,,,,
2011,16,2.1,5,7,9,11,16,18,13,12,9,,,,
2011,19,2,,,,,50,50,,,,,,,
2011,20,2,,,5,10,35,40,10,,,,,,
2011,22,1.9,0,0,0,10,60,25,5,,0,,,,
2011,23,1.9,1,3,7,15,25,25,15,7,2,,,,
2011,24,1.925,,,5,10,40,30,10,5,,,,,
2011,26,1.8,,,5,20,30,25,17.5,2.5,,,,,
2011,29,,,,,,,,,,,,,,
2011,30,1.9,,,,,80,20,,,,,,,
2011,31,1.9,,,3,5,45,40,5,2,,,,,
2011,32,,,,,,,,,,,,,,
2011,33,2,,,,20,30,30,20,,,,,,
2011,36,2,,5,5,15,20,35,15,5,,,,,
2011,37,2.1,,,,,45,55,,,,,,,
2011,38,2,,,,,20,50,30,,,,,,
2011,39,2,,,,,30,55,15,,,,,,
2011,40,,,,,,,,,,,,,,
2011,41,1.8,,,,,,,,,,,,,
2011,42,1.7,,,,10,70,20,,,,,,,
2011,45,,,,,,,,,,,,,,
2011,47,1.9,1,3,7,22,34,22,7,3,1,,,,
2011,48,2,0,0,5,10,40,40,5,0,0,,,,
2011,52,,,,,,,,,,,,,,
2011,54,1.9,,,,10,40,40,10,,,,,,
2011,56,2.1,,,,,35,50,15,,,,,,
2011,57,,,,,,,,,,,,,,
2011,58,2.1,0,0,0,8.7,32.2,41.4,16,1.7,0,,,,
2011,59,2,,,,5,45,45,5,,,,,,
2011,60,1.9,,,5,10,40,30,10,5,,,,,
2011,61,,,,,,,,,,,,,,
2011,62,1.7,,,,10,70,20,,,,,,,
2011,67,2,,,,10,25,30,25,10,,,,,
2011,68,1.9,1,3,10,15,40,21,6,3,1,,,,
2011,70,1.9,,,,,60,40,,,,,,,
2011,72,2,0,0,2.5,15,30,40,10,2.5,0,,,,
2011,73,,,,,,,,,,,,,,
2011,76,1.9,,,,,,,,,,,,,
2011,80,,,,,,,,,,,,,,
2011,82,1.9,,,,25,50,25,,,,,,,
2011,84,2,0,0,3,10,32,35,15,4,1,,,,
2011,85,,,,,,,,,,,,,,
2011,88,1.9,,5,10,20,30,20,10,5,,,,,
2011,90,2,0,0,0,10,50,40,0,0,0,,,,
2011,92,,,,,,,,,,,,,,
2011,93,2,,,,,50,45,5,,,,,,
2011,94,1.9,,1,3,12,50,21,7,4,2,,,,
2011,95,1.9,0,5,9,18,25,22,16,4,1,,,,
2011,96,,,,,,,,,,,,,,
2011,97,2,2,3,5,10,25,25,15,10,5,,,,
2011,98,2.1,,,,5,35,45,15,,,,,,
2011,99,1.8,,,,10,55,25,10,,,,,,
2011,100,2,,2.5,5,10,30,35,10,5,2.5,,,,
,,,,,,,,,,,,,,,
GROWTH EXPECTATIONS; YEAR-ON-YEAR CHANGE IN REAL GDP,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,
2007,1,2.6,,,,,10,40,45,5,,,,,
2007,2,2.5,,,,,12,36,40,12,,,,,
2007,3,2.5,,,,,,50,50,,,,,,
2007,4,2.3,,,,,,50,50,,,,,,
2007,5,2.2,,,,,25,60,15,,,,,,
2007,7,2.4,,,,,,,,,,,,,
2007,8,2.5,,,,,5,40,45,10,,,,,
2007,10,2.50598126941693,.0000269819577236596,.00123963073691558,.0646555232238777,1.2825358895568,9.92788429880028,30.3304737467243,36.8594509387291,17.8452399151403,3.42334509480606,.265147980324654,,,
2007,11,2.4,,,,,5,55,40,,,,,,
2007,14,2.9,,,,,,,80,20,,,,,
2007,15,2.5,,,,,10,35,40,15,,,,,
2007,16,2.3,0,1,2,5,24,34,28,5,1,0,,,
2007,19,2.2,,,,,,100,,,,,,,
2007,20,2.7,,,,,,40,50,10,,,,,
2007,22,2.6,0,0,0,0,10,25,55,10,,,,,
2007,23,2.4,,1,5,10,20,30,29,5,,,,,
2007,24,2.3,,,,,15,60,25,,,,,,
2007,26,2.4,,,,5,15,30,30,15,5,,,,
2007,29,2.5,,,,,,50,50,,,,,,
2007,30,2.5,,,,,,40,60,,,,,,
2007,31,2.6,,,,,5,35,55,5,,,,,
2007,32,,0,1,3,12,18,25,30,10,1,,,,
2007,33,2.6,,,,,,40,60,,,,,,
2007,36,2.8,,,,,5,40,50,5,,,,,
2007,37,2.4,,,,,10,75,15,,,,,,
2007,38,2.4,,,,,30,50,20,,,,,,
2007,39,2.4,,,,,5,55,40,,,,,,
2007,40,2.4,,,,,,90,10,,,,,,
2007,41,2.4,,,,,10,65,25,,,,,,
2007,42,2.4,,,,,10,60,30,,,,,,
2007,45,2.5,,,,,10,40,40,10,,,,,
2007,47,2.3,0,1,3,7,20,40,24,5,0,,,,
2007,48,2.6,0,0,0,0,5,20,70,5,0,0,,,
2007,52,2.3,,,,,,70,30,,,,,,
2007,54,2.2,,,,,10,50,40,,,,,,
2007,56,2.3,,,,5,30,60,5,,,,,,
2007,57,2.2,,,,,,,,,,,,,
2007,58,2.8,0,0,0,1.6,16.1,42.7,33,6.6,0,0,,,
2007,59,2.4,,,,,15,45,35,5,,,,,
2007,60,2.5,,,,,10,40,45,5,,,,,
2007,61,2.3,,,0,5,25,50,20,0,,,,,
2007,62,2.4,,,,,10,60,30,,,,,,
2007,67,3,,,,5,10,15,20,25,20,5,,,
2007,68,2.5,1,3,5,7,17,21,26,11,7,2,,,
2007,70,2.7,,,,,,30,65,5,,,,,
2007,72,2.5,0,0,5,10,20,40,20,5,0,0,,,
2007,73,2.5,,,,,20,70,10,,,,,,
2007,76,2.6,.000663068611366708,.0201875280195951,.322676035101252,2.67385594499162,11.531107467476,25.9626393847867,30.6001037593688,19.9618152641909,7.26685410989379,1.66009743756,,,
2007,80,2.5,2.70099683482904,3.35056270980187,5.96330601862926,9.22782173056216,12.4153926427304,14.5234731256664,14.7717998233494,13.0631710441365,10.0441522161576,13.9393238541375,,,
2007,82,2.2,,,,,15,55,30,,,,,,
2007,84,2.4,0,0,0,0,19.6078431372549,40.1960784313725,39.2156862745098,.980392156862745,0,0,,,
2007,85,2.5,,,,,,15,70,15,,,,,
2007,88,2.4,,,,5,15,40,30,10,,,,,
2007,90,2.6,0,0,0,0,10,10,80,0,0,0,,,
2007,92,2.6,.00000000131549,.00000084621551,.000653023469,.103927129,3.529109,26.77001,47.5086,20.0757,1.9691,.0429000000000013,,,
2007,93,2.4,,,,,,60,40,,,,,,
2007,94,2.5,,,,10,30,42.5,12.5,5,,,,,
2007,95,2.4,0,0,0,0,18,49,33,0,0,0,,,
2007,96,2.5,,,,,15,55,30,,,,,,
2007,97,2.5,1,3,5,10,15,22,28,11,3,2,,,
2007,98,2.3,,,,,15,50,35,,,,,,
2007,99,2.4,,,,2.5,5,60,30,2.5,,,,,
2007,100,2.5,,,,,2.5,30,50,12.5,5,,,,
2007Q4,1,2.5,,,,2,13,35,35,13,2,,,,
2007Q4,2,2.8,,,,6,14,22,28,22,8,,,,
