INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,
2001Sep,85,1.9,0,0,0,14,53,31,2,0,0,0,,
2001Sep,87,1.8,0,0,0,15,50,30,5,0,0,0,,
2001Sep,89,1.8,0,0,0,10,50,40,0,0,0,0,,
2001Sep,90,1.7,0,0,0,10,90,0,0,0,0,0,,
2001Sep,91,1.3,0,0,10.5,69.2,20.1,.2,0,0,0,0,,
2001Sep,92,1.4,0,7.6753507014,16.1322645291,26.3026052104,26.3026052104,16.1322645291,6.0621242485,1.3927855711,0,0,,
2001Sep,93,2,0,0,0,10,40,40,10,0,0,0,,
2001Sep,94,1.9,0,0,0,20,50,30,0,0,0,0,,
2001Sep,95,1.9,0,1,8,19,30,23,13,5,1,0,,
2001Sep,96,2,0,0,2,8,30,30,20,8,2,0,,
2002,1,2,0,0,3,10,25,30,20,8,3,1,,
2002,2,2.4,0,0,0,0,0,60,40,0,0,0,,
2002,3,,0,0,0,10,70,20,0,0,0,0,,
2002,4,1.9,0,0,0,25,50,25,0,0,0,0,,
2002,5,1.8,0,0,0,20,70,10,0,0,0,0,,
2002,6,2,0,0,0,20,30,30,20,0,0,0,,
2002,7,1.5,,,,,,,,,,,,
2002,9,2,0,0,0,0,40,60,0,0,0,0,,
2002,10,1.6,0,0,0,30,50,20,0,0,0,0,,
2002,11,,,,,,,,,,,,,
2002,14,1.7,0,0,0,30,60,10,0,0,0,0,,
2002,15,1.7,0,0,0,15,65,15,5,0,0,0,,
2002,16,1.5,1,3,10,20,25,20,10,5,4,2,,
2002,17,1.5,0,5,20,30,35,10,0,0,0,0,,
2002,18,2,0,0,0,20,30,30,15,5,0,0,,
2002,19,1.8,0,0,0,0,75,25,0,0,0,0,,
2002,20,1.7,0,0,0,0,80,20,0,0,0,0,,
2002,22,1.6,.9090909091,2.7272727273,4.5454545455,22.7272727273,40.9090909091,13.6363636364,1.8181818182,10.9090909091,.9090909091,.9090909091,,
2002,23,2.2,0,0,0,5,20,50,20,5,0,0,,
2002,24,1.8,0,0,0,5,60,30,5,0,0,0,,
2002,26,1.8,0,0,0,20,40,30,10,0,0,0,,
2002,28,,,,,,,,,,,,,
2002,29,1.7,0,0,0,10,80,10,0,0,0,0,,
2002,30,1.8,0,0,0,5,60,35,0,0,0,0,,
2002,31,1.6,0,0,0,20,50,30,0,0,0,0,,
2002,32,1.8,0,0,0,15,35,30,15,5,0,0,,
2002,33,2.2,0,0,0,0,5,80,15,0,0,0,,
2002,34,2,0,0,0,0,20,80,0,0,0,0,,
2002,35,,,,,,,,,,,,,
2002,36,2.2,0,0,0,15,30,40,15,0,0,0,,
2002,37,2,0,0,0,0,50,50,0,0,0,0,,
2002,38,1.7,0,0,0,30,70,0,0,0,0,0,,
2002,39,1.9,0,0,0,0,2,48,50,0,0,0,,
2002,40,1.7,0,0,0,20,50,20,10,0,0,0,,
2002,41,1.6,0,0,0,20,75,5,0,0,0,0,,
2002,42,1.5,0,0,0,40,50,10,0,0,0,0,,
2002,45,1.8,0,0,0,0,45,50,5,0,0,0,,
2002,46,2.88,0,0,0,0,.07,6.87,52.44,38.09,2.52,.01,,
2002,48,1.7,0,0,0,20,60,20,0,0,0,0,,
2002,50,1.5,0,0,0,50,50,0,0,0,0,0,,
2002,52,1.7,0,5,10,20,30,20,10,5,0,0,,
2002,53,2,0,0,0,0,50,50,0,0,0,0,,
2002,54,1.5,0,0,5,25,40,25,5,0,0,0,,
2002,55,1.9,.9,3.4,9.6,19.6,26.8,24,11.8,3.3,.6,0,,
2002,56,,,,,,,,,,,,,
2002,57,,,,,,,,,,,,,
2002,59,1.6,0,0,10,20,30,20,20,0,0,0,,
2002,60,1.8,0,0,0,10,60,30,0,0,0,0,,
2002,61,1.3,0,0,15,50,35,0,0,0,0,0,,
2002,62,1.75,0,0,0,0,60,30,10,0,0,0,,
2002,64,2.2,1,1,3,15,20,30,25,3,1,1,,
2002,65,1.9,0,0,0,0,50,40,10,0,0,0,,
2002,67,1.9,0,0,0,20,60,20,0,0,0,0,,
2002,70,2,0,0,0,15,60,25,0,0,0,0,,
2002,71,1.7,0,5.2631578947,10.5263157895,21.0526315789,42.1052631579,10.5263157895,5.2631578947,5.2631578947,0,0,,
2002,72,1.5,3,8,10,18,20,15,12,8,3,3,,
2002,73,2.2,0,0,0,0,10,80,10,0,0,0,,
2002,76,1.8,0,5,10,20,30,20,10,5,0,0,,
2002,85,1.9,0,0,4,20,38,29,8,1,0,0,,
2002,87,1.8,0,0,10,30,40,15,5,0,0,0,,
2002,89,1.8,0,0,0,20,50,30,0,0,0,0,,
2002,90,1.7,0,0,0,0,95,5,0,0,0,0,,
2002,91,1.1,0,1.2012012012,14.6146146146,44.044044044,33.4334334334,6.4064064064,.3003003003,0,0,0,,
2002,92,1.5,,,,,,,,,,,,
2002,93,1.7,0,0,0,20,60,15,5,0,0,0,,
2002,94,1.7,0,0,0,30,50,20,0,0,0,0,,
2002,95,1.6,2.0202020202,5.0505050505,12.1212121212,23.2323232323,26.2626262626,19.1919191919,8.0808080808,3.0303030303,1.0101010101,0,,
2002,96,1.7,0,0,5,15,30,25,15,7,3,0,,
2002Sep,1,1.9,0,1,10,20,20,20,20,5,2,2,,
2002Sep,2,2.3,0,0,0,0,0,60,40,0,0,0,,
2002Sep,3,,0,0,0,10,50,40,0,0,0,0,,
2002Sep,4,1.8,0,0,0,25,50,25,0,0,0,0,,
2002Sep,5,1.8,0,0,3,20,75,2,0,0,0,0,,
2002Sep,6,1.9,0,0,0,20,30,30,20,0,0,0,,
2002Sep,7,1.4,,,,,,,,,,,,
2002Sep,9,2,0,0,0,0,40,60,0,0,0,0,,
2002Sep,10,2,0,0,0,30,50,20,0,0,0,0,,
2002Sep,11,,,,,,,,,,,,,
2002Sep,14,,,,,,,,,,,,,
2002Sep,15,1.7,0,0,0,15,65,15,5,0,0,0,,
2002Sep,16,1.4,1,3,10,20,25,20,10,5,4,2,,
2002Sep,17,1.4,0,5,20,30,35,10,0,0,0,0,,
2002Sep,18,2.2,0,0,5,10,20,30,20,10,5,0,,
2002Sep,19,1.8,0,0,0,0,100,0,0,0,0,0,,
2002Sep,20,1.7,0,0,0,0,85,15,0,0,0,0,,
2002Sep,22,1.8,2,3,10,25,30,20,5,3,1,1,,
2002Sep,23,2.4,0,0,10,15,50,15,10,0,0,0,,
2002Sep,24,1.9,0,0,0,5,50,40,5,0,0,0,,
2002Sep,26,1.9,0,0,0,30,40,30,0,0,0,0,,
2002Sep,28,,,,,,,,,,,,,
2002Sep,29,1.7,0,0,0,15,70,15,0,0,0,0,,
2002Sep,30,1.7,0,0,0,4.7619047619,57.1428571429,38.0952380952,0,0,0,0,,
2002Sep,31,1.6,0,0,0,20,50,30,0,0,0,0,,
2002Sep,32,1.8,0,0,0,15,35,30,15,5,0,0,,
2002Sep,33,2.2,0,0,0,0,5,80,15,0,0,0,,
2002Sep,34,2,0,0,0,0,15,85,0,0,0,0,,
2002Sep,35,,,,,,,,,,,,,
2002Sep,36,2.3,0,0,0,0,15,30,40,15,0,0,,
2002Sep,37,2,0,0,0,0,50,50,0,0,0,0,,
2002Sep,38,1.6,0,0,0,20,80,0,0,0,0,0,,
2002Sep,39,1.9,0,0,0,4,44,48,4,0,0,0,,
2002Sep,40,1.5,0,0,10,30,30,20,10,0,0,0,,
2002Sep,41,1.6,0,0,0,20,75,5,0,0,0,0,,
2002Sep,42,1.5,,,,,,,,,,,,
2002Sep,45,,,,,,,,,,,,,
2002Sep,46,2.86,0,0,0,0,0,0,94.8,5.2,0,0,,
2002Sep,48,1.5,0,0,5,40,40,15,0,0,0,0,,
2002Sep,50,1.5,0,0,0,50,50,0,0,0,0,0,,
2002Sep,52,1.7,0,5,10,20,30,20,10,5,0,0,,
2002Sep,53,2,0,0,0,0,50,50,0,0,0,0,,
2002Sep,54,1.5,0,0,0,10,50,30,10,0,0,0,,
2002Sep,55,1.8,.7,3.3,10.1,21,27.5,22.8,10.8,3.2,.6,0,,
2002Sep,56,,,,,,,,,,,,,
2002Sep,57,,,,,,,,,,,,,
2002Sep,59,1.6,0,0,10,20,30,20,20,0,0,0,,
2002Sep,60,1.7,0,0,0,10,60,30,0,0,0,0,,
2002Sep,61,1.3,0,0,15,50,35,0,0,0,0,0,,
2002Sep,62,,,,,,,,,,,,,
2002Sep,64,2.2,1,1,3,15,20,30,25,3,1,1,,
2002Sep,65,1.8,0,0,0,0,50,40,10,0,0,0,,
2002Sep,67,1.9,0,0,0,20,60,20,0,0,0,0,,
2002Sep,70,1.9,0,0,0,10,70,20,0,0,0,0,,
2002Sep,71,1.6,0,5,10,30,37,10,5,3,0,0,,
2002Sep,72,1.5,3,8,10,18,20,15,12,8,3,3,,
2002Sep,73,1.8,0,0,0,0,80,20,0,0,0,0,,
2002Sep,76,1.7,2.6315789474,5.2631578947,10.5263157895,15.7894736842,31.5789473684,15.7894736842,10.5263157895,5.2631578947,2.6315789474,0,,
2002Sep,85,1.8,0,2,9,22,30,24,10,3,0,0,,
2002Sep,87,1.8,0,0,5,20,45,20,10,0,0,0,,
2002Sep,89,1.8,0,0,0,20,50,30,0,0,0,0,,
2002Sep,90,1.6,0,0,0,10,90,0,0,0,0,0,,
2002Sep,91,1,.2004008016,7.4148296593,42.3847695391,42.3847695391,7.4148296593,.2004008016,0,0,0,0,,
2002Sep,92,1.52,0,12.6497603834,13.857827476,20.1178115016,21.625399361,17.2024760383,10.1337859425,4.4129392971,0,0,,
2002Sep,93,1.7,0,0,0,20,60,15,5,0,0,0,,
2002Sep,94,1.4,0,0,20,50,30,0,0,0,0,0,,
2002Sep,95,1.6,0,4.0404040404,13.1313131313,23.2323232323,26.2626262626,19.1919191919,10.101010101,3.0303030303,1.0101010101,0,,
2002Sep,96,1.5,0,3,8,27,35,17,8,2,0,0,,
,,,,,,,,,,,,,,
GROWTH EXPECTATIONS; YEAR-ON-YEAR CHANGE IN REAL GDP,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0T4_4,F4_5T4_9,F5_0
2000,1,3.7,0,0,0,0,0,0,10,40,45,5,0,0
2000,2,3.6,0,0,0,0,0,0,0,30,70,0,0,0
2000,3,,0,0,0,0,0,0,0,50,50,0,0,0
2000,4,3.5,0,0,0,0,0,0,0,50,50,0,0,0
2000,5,3.3,0,0,0,0,0,0,25,65,10,0,0,0
2000,6,3.6,0,0,0,0,0,0,0,30,60,10,0,0
2000,7,3.5,,,,,,,,,,,,
2000,9,3.4,0,0,0,0,0,0,0,60,40,0,0,0
2000,10,3.4,0,0,0,0,0,0,20,60,20,0,0,0
2000,11,3.5,0,0,0,0,0,0,10,30,60,0,0,0
2000,14,3.5,0,0,0,0,0,0,0,20,80,0,0,0
2000,15,3.5,0,0,0,0,0,0,15,70,15,0,0,0
2000,16,3.5,0,0,0,0,0,0,10,30,40,20,0,0
2000,17,3.6,0,0,0,0,0,0,0,40,55,5,0,0
2000,18,3.3,0,0,0,0,0,0,10,50,40,0,0,0
2000,19,3.4,0,0,0,0,0,0,0,100,0,0,0,0
2000,20,3.3,0,0,0,0,0,0,30,70,0,0,0,0
2000,22,3.5,,,,,,,,,,,,
2000,23,3.5,0,0,0,0,0,0,0,50,50,0,0,0
2000,24,3.6,0,0,0,0,0,0,0,40,60,0,0,0
2000,26,3.3,0,0,0,0,0,0,20,60,20,0,0,0
2000,28,3.5,0,0,0,0,0,0,20,40,40,0,0,0
2000,29,3.4,0,0,0,0,0,0,0,90,10,0,0,0
2000,30,3.3,0,0,0,0,0,0,0,100,0,0,0,0
2000,31,3.4,0,0,0,0,0,0,0,80,20,0,0,0
2000,32,3.4,0,0,0,0,0,0,15,50,35,0,0,0
2000,33,3.3,0,0,0,0,0,0,5,90,5,0,0,0
2000,34,3.3,0,0,0,0,0,0,0,80,20,0,0,0
2000,35,3.5,0,0,0,0,0,0,0,50,50,0,0,0
2000,36,3.3,0,0,0,0,0,5,40,45,10,0,0,0
2000,37,3.4,0,0,0,0,0,0,0,40,60,0,0,0
2000,38,3.4,0,0,0,0,0,0,0,90,10,0,0,0
2000,39,3.5,0,0,0,0,0,0,0,10,90,0,0,0
2000,40,3.3,0,0,0,0,0,0,0,95,5,0,0,0
2000,41,3.5,0,0,0,0,0,0,0,40,60,0,0,0
2000,42,3.4,0,0,0,0,0,0,0,40,60,0,0,0
2000,45,3.5,0,0,0,0,0,0,0,10,90,0,0,0
2000,46,3.95,0,.0300060012,.1400280056,.5401080216,1.8703740748,4.8209641928,9.7419483897,15.4530906181,19.2438487698,18.8137627526,14.4428885777,14.9029805961
2000,48,3.5,0,0,0,0,0,0,20,30,40,10,0,0
2000,50,3.4,0,0,0,0,0,0,0,100,0,0,0,0
2000,52,3.6,0,0,0,0,0,0,10,30,60,0,0,0
2000,53,3.3,0,0,0,0,0,0,5,80,15,0,0,0
2000,54,3.5,0,0,0,0,0,0,0,60,40,0,0,0
2000,55,3.5,0,0,0,0,0,.2002002002,8.008008008,45.9459459459,42.1421421421,3.7037037037,0,0
2000,56,3.4,0,0,0,0,0,0,10,60,30,0,0,0
2000,57,3.6,0,0,0,0,0,0,0,40,60,0,0,0
2000,59,3.3,0,0,0,0,0,0,10,40,40,10,0,0
2000,60,3.2,0,0,0,0,0,0,20,60,20,0,0,0
2000,61,3.5,0,0,0,0,0,0,0,25,75,0,0,0
2000,62,3.75,0,0,0,0,0,0,10,50,40,0,0,0
2000,64,3.2,0,0,0,0,0,0,10,85,5,0,0,0
2000,65,3.6,0,0,0,0,0,0,0,10,70,20,0,0
2000,67,3.3,0,0,0,0,0,0,10,80,10,0,0,0
2000,70,3.4,0,0,0,0,0,0,0,95,5,0,0,0
2000,71,3.5,0,0,0,0,0,0,5,45,45,5,0,0
2000,72,3.5,0,0,0,0,0,0,0,45,55,0,0,0
2000,73,3.9,0,0,0,0,0,0,0,20,70,10,0,0
2000,76,,,,,,,,,,,,,
2000,85,3.5,0,0,0,0,0,0,0,18,82,0,0,0
2000,87,3.5,0,0,0,0,0,0,0,40,60,0,0,0
2000,89,3.5,0,0,0,0,0,0,0,50,50,0,0,0
2000,90,3.5,0,0,0,0,0,0,0,20,80,0,0,0
2000,91,3.3,0,0,0,0,0,0,0,6.7,77.5,15.8,0,0
2000,92,3.34,0,0,0,0,0,.45,10.63,45.54,37.39,5.83,.16,0
2000,93,3.3,0,0,0,0,0,0,5,40,55,0,0,0
