INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,
2013Sep,107,1.7,.145855586,.619213838,2.2815076078,6.2482215097,12.7214748949,17.1269896139,21.7134738994,20.2511385051,10.4809601466,5.7252997607,2.0294746683,.6563899696,,,,,,,
2013Sep,108,2.04329,,,,.11,5.6,14.08,22.57,26.7,18.78,10.17,1.99,,,,,,,,
2013Sep,110,1.7,.0868056563,.2947016276,1.4583409117,4.7377889384,11.0926300719,18.7216815549,22.7811922028,19.9873851664,12.6434514112,5.7655941706,1.8949138292,.535514459,,,,,,,
2013Sep,111,,,,,,,,,,,,,,,,,,,,
2013Sep,112,2,,,,,,5,30,35,20,10,,,,,,,,,
2014,1,1.9,,,,,5,15,60,15,5,,,,,,,,,,
2014,2,2.5,,,,,5,10,15,20,20,15,10,5,,,,,,,
2014,3,,,,,,,,,,,,,,,,,,,,
2014,4,1.6,,,,5,10,15,40,15,10,5,,,,,,,,,
2014,5,1.8,,,,,,20,50,20,10,,,,,,,,,,
2014,6,2,,,,,,,30,40,30,,,,,,,,,,
2014,7,1.7,,,,,,,,,,,,,,,,,,,
2014,8,1.9,1,2,3,4,9,15,23,22,15,3,2,1,,,,,,,
2014,14,2,,,,,,,,,,,,,,,,,,,
2014,15,1.9,,,,,10,10,35,25,15,5,,,,,,,,,
2014,16,2,1,2,3,8,12,16,18,16,12,8,3,1,,,,,,,
2014,20,2,,,,,5,20,30,35,10,,,,,,,,,,
2014,22,1.8,,,,,10,20,40,20,10,,,,,,,,,,
2014,23,1.5,,,,5,10,20,25,18,15,5,2,,,,,,,,
2014,24,1.7,,,,5,12.5,22.5,25,20,10,5,,,,,,,,,
2014,26,1.9,,,,2.5,7.5,20,25,25,15,5,,,,,,,,,
2014,29,2.5,,,,,,,,40,50,10,,,,,,,,,
2014,30,,,,,,,,,,,,,,,,,,,,
2014,31,2.2,,,,,5,15,30,35,10,5,,,,,,,,,
2014,32,,,,,,,,,,,,,,,,,,,,
2014,33,2,,,,,,20,30,30,20,,,,,,,,,,
2014,37,2,,,,,,4,40,45,10,1,,,,,,,,,
2014,38,1.8,,,,,,20,60,20,,,,,,,,,,,
