INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,,,
2001Jun,43,,,,,,,,,,,,,
2001Jun,45,1.91,0,0,.37,11.01,49.06,35.43,4.06,.07,0,,,
2001Jun,46,1.93,0,0,0,0,79.28,20.72,0,0,0,,,
2001Jun,48,1.1,0,0,0,20,50,30,0,0,0,,,
2001Jun,53,1.9,0,0,0,0,70,30,0,0,0,,,
2001Jun,54,1.6,0,0,0,10,50,30,10,0,0,,,
2001Jun,55,2,0,.2997003,3.1968032,15.38461538,32.66733267,30.96903097,14.08591409,3.0969031,.2997003,,,
2001Jun,56,1.5,0,0,0,20,70,10,0,0,0,,,
2001Jun,57,1.8,0,0,0,25,70,5,0,0,0,,,
2001Jun,59,1.6,0,0,10,20,40,20,10,0,0,,,
2001Jun,64,2,0,0,0,0,30,50,20,0,0,,,
2001Jun,67,1.9,0,0,0,0,90,10,0,0,0,,,
2001Jun,70,2.1,0,0,0,0,35,50,15,0,0,,,
2001Jun,71,1.6,0,0,5,15,60,15,5,0,0,,,
2001Jun,72,1.8,1,3,7,15,25,20,15,10,4,,,
2001Jun,73,2,0,0,0,0,20,70,10,0,0,,,
2001Jun,76,1.8,0,0,5,20,40,25,10,0,0,,,
2001Jun,85,1.8,0,0,0,2,18,42,30,8,0,,,
2001Jun,87,1.9,0,0,0,10,45,35,10,0,0,,,
2001Jun,89,1.8,0,0,0,20,50,30,0,0,0,,,
2001Jun,90,1.5,0,0,0,5,90,5,0,0,0,,,
2001Jun,91,1.5,.1001001,4.2042042,34.43443443,48.64864865,12.11211211,.5005005,0,0,0,,,
2001Jun,93,2,0,0,0,35,40,20,5,0,0,,,
2001Jun,94,1.5,0,0,0,60,40,0,0,0,0,,,
2001Jun,95,1.9,0,2,8,20,30,22,13,5,0,,,
2001Jun,96,2.1,0,0,1,9,25,35,20,9,1,,,
2002,1,1.9,0,0,5,25,30,25,13,2,0,,,
2002,3,1.8,0,0,0,10,70,20,0,0,0,,,
2002,4,1.9,0,0,0,0,60,40,0,0,0,,,
2002,5,1.8,0,0,0,5,90,5,0,0,0,,,
2002,7,,,,,,,,,,,,,
2002,9,1.7,0,0,0,10,60,30,0,0,0,,,
2002,10,1.8,0,0,0,0,30,50,20,0,0,,,
2002,11,,,,,,,,,,,,,
2002,14,1.5,0,0,0,30,70,0,0,0,0,,,
2002,15,1.7,0,0,0,5,60,30,5,0,0,,,
2002,17,1.5,0,5,20,30,35,10,0,0,0,,,
2002,19,1.8,0,0,0,0,75,25,0,0,0,,,
2002,20,1.8,0,0,0,0,60,40,0,0,0,,,
2002,22,1.8,1,1,10,20,35,20,10,2,1,,,
2002,26,2,0,0,0,0,40,40,20,0,0,,,
2002,28,,,,,,,,,,,,,
2002,29,,,,,,,,,,,,,
2002,30,1.7,0,0,0,5,85,10,0,0,0,,,
2002,31,1.9,,,,,,,,,,,,
2002,32,,,,,,,,,,,,,
2002,33,2,0,0,0,0,10,80,10,0,0,,,
2002,35,,,,,,,,,,,,,
2002,36,2.1,0,0,0,15,30,40,15,0,0,,,
2002,37,2,0,0,0,0,50,50,0,0,0,,,
2002,39,2,0,0,0,5,40,55,0,0,0,,,
2002,41,1.9,0,0,0,0,60,40,0,0,0,,,
2002,43,,,,,,,,,,,,,
2002,45,1.8,.130013,1.38013801,7.61076108,21.73217322,32.20322032,24.78247825,9.8909891,2.04020402,.230023,,,
2002,46,2.28,0,0,0,.36,16.28,60.73,21.96,.67,0,,,
2002,48,1.5,0,0,0,50,40,10,0,0,0,,,
2002,53,2,0,0,0,0,40,60,0,0,0,,,
2002,54,1.5,0,0,5,25,40,25,5,0,0,,,
2002,55,2.2,1.3013013,3.1031031,7.40740741,13.91391391,20.22022022,22.82282282,18.11811812,9.30930931,3.8038038,,,
2002,56,,,,,,,,,,,,,
2002,57,,,,,,,,,,,,,
2002,59,1.8,0,5,15,30,20,20,10,0,0,,,
2002,64,2.2,1,1,3,15,20,30,25,3,2,,,
2002,67,1.8,0,0,0,0,90,10,0,0,0,,,
2002,70,2.1,0,0,0,0,30,45,25,0,0,,,
2002,71,1.3,0,3,7,40,30,15,5,0,0,,,
2002,72,1.5,5,5,10,18,20,18,11,8,5,,,
2002,73,2.3,0,0,0,0,10,80,10,0,0,,,
2002,76,2,0,0,5,10,25,35,15,7.5,2.5,,,
2002,85,1.9,0,0,1.96078431,7.84313725,25.49019608,25.49019608,20.58823529,13.7254902,4.90196078,,,
2002,87,1.9,0,0,0,20,40,25,15,0,0,,,
2002,89,1.9,0,0,0,10,40,40,10,0,0,,,
2002,90,1.7,0,0,0,0,90,10,0,0,0,,,
2002,91,1.1,.1001001,4.2042042,34.43443443,48.64864865,12.11211211,.5005005,0,0,0,,,
2002,93,1.5,0,0,3,45,40,10,2,0,0,,,
2002,94,1.4,0,0,0,50,50,0,0,0,0,,,
2002,95,1.6,3,5,12,23,26,20,8,3,0,,,
2002,96,1.7,0,0,5,15,35,20,15,8,2,,,
2002Jun,1,1.9,0,0,5,25,35,23,10,2,0,,,
2002Jun,3,1.9,0,0,0,10,50,40,0,0,0,,,
2002Jun,4,1.9,0,0,0,10,50,40,0,0,0,,,
2002Jun,5,1.7,0,0,0,10,80,10,0,0,0,,,
2002Jun,7,,,,,,,,,,,,,
2002Jun,9,1.7,0,0,0,10,60,30,0,0,0,,,
2002Jun,10,1.8,0,0,0,0,30,50,20,0,0,,,
2002Jun,11,,,,,,,,,,,,,
2002Jun,14,1.5,0,0,0,30,70,0,0,0,0,,,
2002Jun,15,1.7,0,0,0,10,55,30,5,0,0,,,
2002Jun,17,1.4,0,5,20,30,35,10,0,0,0,,,
2002Jun,19,1.8,0,0,0,0,75,25,0,0,0,,,
2002Jun,20,1.9,0,0,0,0,50,50,0,0,0,,,
2002Jun,22,1.7,1,2,10,20,30,20,10,5,2,,,
2002Jun,26,2.1,0,0,0,10,30,40,20,0,0,,,
2002Jun,28,,,,,,,,,,,,,
2002Jun,29,,,,,,,,,,,,,
2002Jun,30,1.7,0,0,0,0,95,5,0,0,0,,,
2002Jun,31,2,,,,,,,,,,,,
2002Jun,32,,,,,,,,,,,,,
2002Jun,33,2,0,0,0,0,10,80,10,0,0,,,
2002Jun,35,,,,,,,,,,,,,
2002Jun,36,2.3,0,0,0,15,30,40,15,0,0,,,
2002Jun,37,1.8,0,0,0,0,50,50,0,0,0,,,
2002Jun,39,2,0,0,0,7,40,48,5,0,0,,,
2002Jun,41,1.8,0,0,0,5,80,15,0,0,0,,,
2002Jun,43,,,,,,,,,,,,,
2002Jun,45,1.87,0,.2,3.21,18.61,39.03,29.82,8.28,.82,.03,,,
2002Jun,46,2.27,0,0,0,0,.06,99.59,.35,0,0,,,
2002Jun,48,1.5,0,0,10,40,40,10,0,0,0,,,
2002Jun,53,2,0,0,0,0,40,60,0,0,0,,,
2002Jun,54,1.5,0,0,0,10,50,30,10,0,0,,,
2002Jun,55,2.3,.3,1.4,5.1,12.9,22.5,27,20.2,8.4,2.2,,,
2002Jun,56,,,,,,,,,,,,,
2002Jun,57,,,,,,,,,,,,,
2002Jun,59,1.6,0,5.55555556,11.11111111,22.22222222,22.22222222,22.22222222,11.11111111,5.55555556,0,,,
2002Jun,64,2.2,1,1,3,15,20,30,25,3,2,,,
2002Jun,67,1.8,0,0,0,0,90,10,0,0,0,,,
2002Jun,70,2.1,0,0,0,0,30,45,25,0,0,,,
2002Jun,71,1.3,0,3,7,40,30,15,5,0,0,,,
2002Jun,72,1.5,5,5,10,18,20,18,11,8,5,,,
2002Jun,73,2.3,0,0,0,0,0,80,20,0,0,,,
2002Jun,76,2,0,0,5,10,30,35,15,5,0,,,
2002Jun,85,2.2,0,0,7,13,22,24,19,10,5,,,
2002Jun,87,1.7,0,0,0,15,50,30,5,0,0,,,
2002Jun,89,1.9,0,0,0,10,40,40,10,0,0,,,
2002Jun,90,1.7,0,0,0,5,90,5,0,0,0,,,
2002Jun,91,1,0,4.5540797,58.25426945,31.49905123,5.69259962,0,0,0,0,,,
2002Jun,93,1.6,0,0,3,45,40,10,2,0,0,,,
2002Jun,94,1.4,0,0,20,50,30,0,0,0,0,,,
2002Jun,95,1.6,2,4,13,23,26,19,10,3,0,,,
2002Jun,96,1.6,0,0,5,20,30,23,13,6,3,,,
,,,,,,,,,,,,,,
GROWTH EXPECTATIONS; YEAR-ON-YEAR CHANGE IN REAL GDP,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0T4_4,F4_5T4_9,F5_0
2000,1,3.6,0,0,0,0,0,1,10,35,40,13,1,0
2000,3,3.5,0,0,0,0,0,0,0,50,50,0,0,0
2000,4,3.8,0,0,0,0,0,0,0,40,50,10,0,0
2000,5,3.4,0,0,0,0,0,0,5,80,15,0,0,0
2000,7,3.8,,,,,,,,,,,,
2000,9,3.5,0,0,0,0,0,0,0,60,40,0,0,0
2000,10,3.5,0,0,0,0,0,0,10,40,40,10,0,0
2000,11,3.5,0,0,0,0,0,0,5,25,70,0,0,0
2000,14,3.5,0,0,0,0,0,0,0,40,60,0,0,0
2000,15,3.5,0,0,0,0,0,0,25,60,15,0,0,0
2000,17,3.4,0,0,0,0,0,0,25,40,30,5,0,0
2000,19,3.3,0,0,0,0,0,0,10,90,0,0,0,0
2000,20,3.4,0,0,0,0,0,0,0,70,30,0,0,0
2000,22,3.7,0,0,0,0,1,4,15,30,35,15,0,0
2000,26,3.6,0,0,0,0,0,0,0,40,50,10,0,0
2000,28,3.7,0,0,0,0,0,0,0,25,50,25,0,0
2000,29,3.3,0,0,0,0,0,0,5,85,10,0,0,0
2000,30,3.4,0,0,0,0,0,0,0,90,10,0,0,0
2000,31,3.5,,,,,,,,,,,,
2000,32,3.3,0,0,0,0,0,0,20,50,30,0,0,0
2000,33,3.3,0,0,0,0,0,0,0,90,10,0,0,0
2000,35,3.3,0,0,0,0,0,0,20,70,10,0,0,0
2000,36,3.1,0,0,0,0,0,5,45,45,5,0,0,0
2000,37,3.5,0,0,0,0,0,0,0,30,70,0,0,0
2000,39,3.5,0,0,0,0,0,0,0,30,70,0,0,0
2000,41,3.5,0,0,0,0,0,0,0,40,60,0,0,0
2000,43,3.5,0,0,0,0,0,0,0,40,60,0,0,0
2000,45,3.32,0,0,0,0,0,.08,10.74,64.84,23.91,.43,0,0
2000,46,3.75,.030003,.120012,.470047,1.42014201,3.54035404,7.21072107,11.96119612,16.22162216,17.96179618,16.23162316,11.99119912,12.84128413
2000,48,3.6,0,0,0,0,0,0,0,30,60,10,0,0
2000,53,3.4,0,0,0,0,0,0,10,70,20,0,0,0
2000,54,3.7,0,0,0,0,0,0,10,30,50,10,0,0
2000,55,3.5,0,0,0,0,0,.2002002,8.80880881,49.14914915,38.53853854,3.3033033,0,0
2000,56,3.4,0,0,0,0,0,0,20,50,30,0,0,0
2000,57,3.7,0,0,0,0,0,0,0,50,50,0,0,0
2000,59,3.5,0,0,0,0,0,0,10,40,40,10,0,0
2000,64,3.2,0,0,0,0,0,0,25,50,25,0,0,0
2000,67,3.2,0,0,0,0,0,0,0,80,20,0,0,0
2000,70,3.6,0,0,0,0,0,0,0,45,40,15,0,0
2000,71,3.5,0,0,0,0,0,3,7,30,40,15,5,0
2000,72,3.3,0,0,0,0,0,0,20,60,20,0,0,0
2000,73,3.9,0,0,0,0,0,0,0,20,70,10,0,0
2000,76,3.7,0,0,0,0,0,0,5,20,50,20,5,0
2000,85,3.5,,,,,,,,,,,,
2000,87,3.6,0,0,0,0,0,0,0,10,60,30,0,0
2000,89,3.5,0,0,0,0,0,0,10,40,50,0,0,0
2000,90,3.6,0,0,0,0,0,0,5,5,90,0,0,0
2000,91,,,,,,,,,,,,,
2000,93,3.5,0,0,0,0,0,0,0,40,60,0,0,0
2000,94,3.7,0,0,0,0,0,0,0,30,70,0,0,0
2000,95,3.3,0,0,0,0,2,6,20,35,25,10,2,0
2000,96,3.6,0,0,0,0,0,1,9,35,42,10,3,0
2001,1,3.3,0,0,0,0,2,10,20,35,25,7,1,0
2001,3,2.8,0,0,0,0,0,10,60,30,0,0,0,0
2001,4,3.5,0,0,0,0,0,0,10,40,40,10,0,0
2001,5,3.2,0,0,0,0,0,0,10,80,10,0,0,0
2001,7,3.5,,,,,,,,,,,,
2001,9,3.2,0,0,0,0,0,0,30,60,10,0,0,0
2001,10,3.3,0,0,0,0,0,5,20,40,30,5,0,0
2001,11,3.1,0,0,0,0,0,0,35,45,20,0,0,0
2001,14,3,0,0,0,0,0,0,40,60,0,0,0,0
2001,15,3,0,0,0,0,0,5,40,50,5,0,0,0
2001,17,3.2,0,0,0,0,0,5,20,35,30,10,0,0
2001,19,3,0,0,0,0,0,0,20,80,0,0,0,0
2001,20,3.4,0,0,0,0,0,0,0,60,40,0,0,0
2001,22,3,0,1,1,2,10,15,25,25,15,5,1,0
2001,26,3.5,0,0,0,0,0,0,20,30,30,20,0,0
2001,28,3.3,0,0,0,0,0,0,25,50,25,0,0,0
2001,29,2.8,0,0,0,0,0,0,90,10,0,0,0,0
2001,30,3.1,0,0,0,0,0,0,25,75,0,0,0,0
2001,31,3.2,0,0,0,0,0,0,30,50,20,0,0,0
2001,32,2.9,0,0,0,0,5,20,40,25,10,0,0,0
2001,33,3,0,0,0,0,0,0,30,70,0,0,0,0
2001,35,3.2,0,0,0,0,0,0,30,50,20,0,0,0
2001,36,3,0,0,0,0,0,10,45,45,0,0,0,0
2001,37,3.2,0,0,0,0,0,0,0,50,50,0,0,0
2001,39,3.3,0,0,0,0,0,0,4,55,40,1,0,0
2001,41,3.3,0,0,0,0,0,0,10,70,20,0,0,0
2001,43,3.6,0,0,0,0,0,0,0,30,70,0,0,0
2001,45,3.28,0,0,0,0,0,.09,12.95,68.11,18.66,.19,0,0
2001,46,4.48,0,.010004,.06002401,.23009204,.87034814,2.38095238,5.31212485,9.69387755,14.43577431,17.55702281,17.44697879,32.00280112
2001,48,3.4,0,0,0,0,0,0,20,50,30,0,0,0
2001,53,3.1,0,0,0,0,0,0,15,75,10,0,0,0
2001,54,3.4,0,0,0,0,0,0,10,50,30,10,0,0
2001,55,3,0,0,.0999001,1.0989011,5.89410589,18.28171828,32.16783217,29.77022977,11.08891109,1.4985015,.0999001,0
2001,56,3.1,0,0,0,0,5,10,30,50,5,0,0,0
2001,57,3.4,0,0,0,0,0,0,0,80,20,0,0,0
2001,59,3.2,0,0,0,0,0,10,20,40,20,10,0,0
2001,64,3.2,0,1,1,3,5,10,20,30,25,3,1,1
2001,67,3,0,0,0,0,0,0,30,70,0,0,0,0
2001,70,3.5,0,0,0,0,0,0,10,40,35,15,0,0
2001,71,3.1,0,0,0,0,3,7,20,35,20,10,5,0
2001,72,3.1,0,0,0,1,5,12,25,30,15,8,3,1
2001,73,3.6,0,0,0,0,0,0,0,30,60,10,0,0
2001,76,4,0,0,0,0,0,5,10,15,25,35,10,0
2001,85,2.9,,,,,,,,,,,,
2001,87,3.5,0,0,0,0,0,0,0,35,50,15,0,0
2001,89,3.2,0,0,0,0,0,0,30,50,20,0,0,0
2001,90,3.4,0,0,0,0,0,0,5,95,0,0,0,0
2001,91,,,,,,,,,,,,,
2001,93,3.2,0,0,0,0,0,0,0,60,40,0,0,0
2001,94,2.4,0,0,0,0,0,30,40,30,0,0,0,0
2001,95,3.1,0,0,0,5,8,15,19,19,16,10,5,3
2001,96,3.1,0,0,0,0,5,12,20,35,25,3,0,0
2001Q1,1,3.7,0,0,0,0,0,0,15,20,30,20,15,0
2001Q1,3,3.1,0,0,0,0,0,0,40,50,10,0,0,0
2001Q1,4,3.9,0,0,0,0,0,0,0,20,50,30,0,0
2001Q1,5,3.1,0,0,0,0,0,0,15,70,15,0,0,0
2001Q1,7,3.5,,,,,,,,,,,,
2001Q1,9,3.5,0,0,0,0,0,0,0,70,30,0,0,0
2001Q1,10,3.5,0,0,0,0,0,5,20,40,30,5,0,0
2001Q1,11,3.3,0,0,0,0,0,0,25,30,45,0,0,0
2001Q1,14,3.3,0,0,0,0,0,0,20,80,0,0,0,0
2001Q1,15,3,0,0,0,0,0,0,45,45,10,0,0,0
2001Q1,17,3.3,0,0,0,0,0,10,10,35,35,10,0,0
2001Q1,19,3,0,0,0,0,0,0,10,90,0,0,0,0
2001Q1,20,3.6,0,0,0,0,0,0,0,50,50,0,0,0
2001Q1,22,3.3,0,1.11111111,1.11111111,3.33333333,5.55555556,11.11111111,22.22222222,27.77777778,22.22222222,2.22222222,2.22222222,1.11111111
2001Q1,26,3.7,0,0,0,0,0,0,15,20,30,20,15,0
2001Q1,28,3.7,0,0,0,0,0,0,10,25,40,25,0,0
2001Q1,29,3,0,0,0,0,0,0,10,90,0,0,0,0
2001Q1,30,,,,,,,,,,,,,
2001Q1,31,3.4,0,0,0,0,0,0,15,50,35,0,0,0
2001Q1,32,3,0,0,0,0,0,5,40,40,15,0,0,0
2001Q1,33,3,0,0,0,0,0,0,40,60,0,0,0,0
2001Q1,35,2.9,0,0,0,0,0,20,40,40,0,0,0,0
2001Q1,36,2.8,0,0,0,0,15,20,40,20,5,0,0,0
2001Q1,37,3.4,0,0,0,0,0,0,0,70,30,0,0,0
2001Q1,39,3.4,0,0,0,0,0,0,5,45,48,2,0,0
2001Q1,41,3.3,0,0,0,0,0,0,10,60,30,0,0,0
2001Q1,43,,,,,,,,,,,,,
